sentence,snippets,target,sentiment_score,aspects,format,label
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,['Currently it is the shorts rejoicing'],AMRN,-0.54,['Stock/Price Action'],post,2
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,['deliveries are up 35% in Germany - record deliveries in March'],TSLA,0.365,['Corporate/Sales'],post,0
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,['bucks weak markets'],Hargreaves Lansdown,0.571,['Market/Market'],headline,0
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,['prompt regulatory reviews'],GILD,-0.401,['Corporate/Regulatory'],post,2
$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,['company is on the right track they are still improving sales'],RAD,0.401,['Corporate/Sales/Sales'],post,0
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",['U.K. Stocks Resume Gains to Rally to Record;'],Tullow,0.544,['Stock/Price Action/Bullish/Bullish Behaviour'],headline,0
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs","['upgrades to outperform, lifts price target']",TSLA,0.61,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
Preparing for a Breakout Trade in Netflix $NFLX  https://t.co/CzHIX3tuAG $$ https://t.co/z1qb9xa4LD,['Preparing for a Breakout Trade'],NFLX,0.358,['Stock/Technical Analysis/Breakout'],post,0
Horizonte acquires neighbouring Glencore nickel property in Brazil,['e acquires neighbouring Glencore nickel property'],Horizonte,0.182,['Corporate/M&A/M&A'],headline,0
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,['applies to boost Wells Fargo stake above 10 percen'],Wells Fargo,0.432,['Stock/Signal/Sell Signal'],headline,0
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",['Aldi and Lidl expansion'],Lidl,0.372,['Corporate/Strategy/Corporate Expansion'],headline,0
"$CSX is up today to report.  Wall Street is expecting EPS to be at $0.37, and revenues at $2,732B.",['Wall Street is expecting EPS to be at'],CSX,0.461,['Corporate/Financial/Financial Results/Earnings'],post,0
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","['credit ratings fragile in FY16, agencies warn']",BHP,-0.338,['Corporate/Risks'],headline,2
AstraZeneca sells Caprelsa rights to Sanofi unit,['sells Caprelsa rights to Sanofi unit'],Sanofi,0.233,['Corporate/Sales/Deal'],headline,0
$TRX http://stks.co/1KkK Long setup. MACD cross.,['Long setup. MACD cross.'],TRX,0.438,['Stock/Technical Analysis'],post,0
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","['AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion']",ZS Pharma,0.468,['Corporate/M&A/M&A'],headline,0
London Stock Exchange seals ÃÂ£22 billion merger with Germany's Deutsche BÃÂ¶rse,['seals ÃÂ£22 billion merger with'],London Stock Exchange,0.327,['Corporate/M&A/M&A'],headline,0
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,['selling surveillance cameras infected with malware'],AMZN,-0.186,['Corporate/Risks/Product Flaws'],post,2
Shell challenges Exxon dominance with 47 billion-pound bid for BG,['challenges Exxon dominance with 47 billion-pound bid for BG'],Exxon,-0.196,['Corporate/Strategy/Corporate Expansion'],headline,2
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today","['we saw a large order in this one last week, someone also accumulating']",ENDP,0.613,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,['lift SABMiller's quarterly underlying sales'],SABMiller,0.429,['Corporate/Sales/Sales'],headline,0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility'],headline,1
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,['Accumulation chart continues to make new highs showing accumulation continuing to take place'],LSCC,0.497,['Stock/Price Action/Volume/Unusual high volume'],post,0
Brewer AB InBev seeks $275 bln tie-up with SABMiller,['seeks $275 bln tie-up with SABMiller'],SABMiller,0.295,['Corporate/M&A/Proposed Merger'],headline,0
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",['held the trend lin'],NAVB,0.325,['Stock/Price Action'],post,0
looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,['I may try a short.'],CREE,-0.352,['Stock/Price Action/Bearish/Bear Position'],post,2
$AAPL nibbling on a small long via 525.. buying off 13min charts..,['nibbling on a small long'],AAPL,0.509,['Stock/Price Action/Bullish'],post,0
UPDATE 1-BP shareholders back more disclosure on climate change risks,['shareholders back more disclosure on climate change risks'],BP,0.037,['Corporate/Risks'],headline,1
$ilmn piper Jeffries raises pt.  I remain long,['piper Jeffries raises pt'],ILMN,0.467,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",['Life top forecasts ahead of 5.6 billion pound merger'],Friends Life,0.39,['Corporate/M&A/M&A'],headline,0
$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,['MACD and ADX are crossing over the signal lines! Long Setup'],AEGN,0.569,['Stock/Signal/Buy Signal'],post,0
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",['Key price to watch'],NFLX,-0.341,['Stock/Technical Analysis'],post,2
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,['This time I think $AAPL will miss again'],AAPL,-0.363,['Corporate/Financial/Financial Results/Earnings/Earnings miss'],post,2
AstraZeneca sells US drug rights to Perrigo for $380 mln,['sells US drug rights to Perrigo for $380 mln'],Perrigo,0.326,['Corporate/M&A/M&A'],headline,0
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,['afternoon selloff as usual will be brutal'],AAPL,-0.569,['Stock/Price Action/Bearish'],post,2
"Britain's FTSE falls back with Ashtead, commodities under pressure","['FTSE falls back with Ashtead,']",Ashtead,-0.59,['Market/Volatility'],headline,2
$AAPL long 630.91,['long'],AAPL,0.512,['Stock/Price Action/Bullish/Bull Position'],post,0
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,['Nice buy signals here!'],COH,0.527,['Stock/Signal/Buy Signal'],post,0
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,['Breakout coming Monday'],UNXL,0.478,['Stock/Technical Analysis/Breakout'],post,0
LinkedIn Revenue Up Nearly 50% http://stks.co/g1F4T  $LNKD,['Revenue Up Nearly 50%'],LNKD,0.423,['Corporate/Financial/Financial Results/Earnings'],post,0
"$CNDO 21% short float, shorts likely to take profits into close",['shorts likely to take profits into close'],CNDO,-0.327,['Stock/Price Action/Current Price/Oversold'],post,2
"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ","['After weeks of steady gains,advances in mkt breadth slowe']",QQQ,-0.146,['Stock/Price Action'],post,2
#Apple up almost 20% from its February lows with very little fanfare. $AAPL,['up almost 20% from its February lows'],AAPL,0.431,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,['Announces Extension of Merger Agreements'],BXS,0.348,['Corporate/M&A/Proposed Merger'],post,0
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,['back over support'],IBB,0.362,['Stock/Technical Analysis'],post,0
"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint","['Green Mountain revenue misses, shares plunge']",GMCR,-0.668,['Corporate/Financial/Financial Results'],post,2
Tesco shareholders back ITV head for chairman,[' shareholders back ITV head for chairman'],Tesco,0.139,['Corporate/Appointment/Executive Appointment'],headline,0
Facebook $FB received a Buy rating from Wells Fargo 5-star Analyst Peter Stabler (Wells Fargo) https://t.co/jnB4c9vdCu,['received a Buy rating'],FB,0.456,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,['short from here.'],ISRG,-0.678,['Stock/Price Action/Bearish/Bear Position'],post,2
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,['Quarterly Dividends'],Imperial Tobacco,0.336,['Corporate/Dividend Policy'],headline,0
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,['working on a couple daily dojis'],EBAY,-0.441,['Stock/Technical Analysis'],post,2
"$ONTY Continues to base as debate lingers. ONT-10 data next potential catalyst. If positive, stock quickly moves to $10. Downside limited.","['If positive, stock quickly moves to $10. Downside limited.']",ONTY,0.3,['Stock/Price Action/Bullish'],post,0
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],Coutts,-0.248,['Corporate/Legal/Lawsuit'],headline,2
Morrisons and Debenhams surprise City with Christmas bounce back,['with Christmas bounce back'],Debenhams,0.573,['Stock/Price Action/Volatility'],headline,0
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",['bull flag on the daily'],P,0.335,['Stock/Price Action/Bullish'],post,0
Piper upgrades Symantec on improving renewal rates and enterprise growth $SYMC,['Piper upgrades Symantec on improving renewal rates and enterprise growth'],SYMC,0.525,['Stock/Coverage/AnalystRatings/Upgrade'],post,0
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",['think shorting here into close might be play'],SPY,-0.469,['Stock/Price Action/Volatility/Short Selling'],post,2
"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in","['on fire, what is that 6 up days in a row']",TSLA,0.452,['Stock/Price Action/Bullish'],post,0
"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA","['Recalling 2,700 Model X Units']",TSLA,-0.385,['Corporate/Risks/Product Recall'],post,2
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",['will all cut petrol prices as oil falls ...'],Morrisons,-0.251,['Stock/Price Action/Future Price'],headline,2
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,['closes in on new chairman'],Dixons Carphone,0.129,['Corporate/Appointment'],headline,0
$TSLA recall model X https://t.co/b7izYa4BuE,['recall model'],TSLA,-0.347,['Corporate/Risks/Product Recall'],post,2
Builder Persimmon hails 6% rise in house sales,['6% rise in house sales'],Persimmon,0.435,['Corporate/Sales'],headline,0
Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,['What a nice reversal.'],GOOG,0.318,['Stock/Price Action'],post,0
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,['near a 3% drop thats a lot'],AAPL,-0.304,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
Whitbread buys 49% stake in Pure food chain,['buys 49% stake in Pure food chain'],Whitbread,0.365,['Corporate/M&A/M&A'],headline,0
$PYPL great vol flow trade here.. Love this company long time.,['great vol flow trade here'],PYPL,0.408,['Stock/Price Action/Bullish'],post,0
$DUG weekly stochastics finally starting to turn up after long consolidation. Buying here.,['weekly stochastics finally starting to turn up'],DUG,0.702,['Stock/Technical Analysis/Stochastic'],post,0
Standard Life share price: Insurer buys advice firm Pearson Jones,['Insurer buys advice firm Pearson Jones'],Standard Life,0.364,['Corporate/Strategy/Corporate Planning'],headline,0
$XLB the weakest sector this year and possible false breakout  http://stks.co/dL1Z,['the weakest sector this year and possible false breakout'],XLB,-0.458,['Stock/Price Action'],post,2
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,['Explores Potential Deal '],AstraZeneca,0.372,['Corporate/M&A/Joint Venture'],headline,0
CompaniesHome Retail trims gains but is considered 'in play',['trims gains but is considered 'in play''],Home Retail,0.135,['Stock/Price Action'],headline,0
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,['Digital Strategy To Drive Significant Growth With Customer Loyalty'],SBUX,0.388,['Corporate/Strategy'],post,0
"$TSLA steaming up again, this stock is relentless at the moment","['steaming up again, this stock is relentless at the moment']",TSLA,0.535,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
"L&G still paying price for dividend cut during crisis, chief says",['still paying price for dividend cut'],L&G,-0.338,['Corporate/Dividend Policy'],headline,2
$DARA breaking out,['breaking out'],DARA,0.427,['Stock/Price Action/Bullish'],post,0
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,['Licensing Deal With Omnis Pharmaceuticals'],Omnis Pharmaceuticals,0.295,['Corporate/Sales/Deal'],headline,0
$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,['Tomorrow party time for the Bears'],SPY,-0.454,['Stock/Price Action/Bearish'],post,2
RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,['Sales Were Off the Charts'],AAPL,0.539,['Corporate/Sales'],post,0
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,['Hikes Dividend 20% As Profit And Revenue Rise'],Travis Perkins,0.769,['Corporate/Dividend Policy'],headline,0
EasyJet attracts more passengers in June but still lags Ryanair,['attracts more passengers'],Ryanair,0.259,['Corporate/Sales/Sales'],headline,0
Added. Cost now at 1.54. Bounce off of Put OI & S1 pivot. @moteltan BTO $AAPL Apr 27 2012 605.0 Calls @ 1.66 for ride to 609 ish.,['Bounce off of Put OI & S1 pivot'],AAPL,0.47,['Stock/Price Action/Bullish'],post,0
"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",['technical swing long basis'],TWTR,0.591,['Stock/Technical Analysis'],post,0
Intertek Group announces strategic update outlining its plan,['strategic update outlining its plan'],Intertek Group,0.046,['Corporate/Strategy'],headline,1
"After Barclays and Bank of America, Citigroup has blockchain in sight",['Citigroup has blockchain in sight'],Barclays,0.198,['Corporate/Strategy/Investment'],headline,0
Tesco sells Blinkbox and broadband service to TalkTalk,['sells Blinkbox and broadband service to'],TalkTalk,0.136,['Corporate/Sales/Deal'],headline,0
$KEP breaking out when the market pulls back  http://stks.co/r0cet,['breaking out when the market pulls back'],KEP,0.413,['Stock/Price Action/Bullish'],post,0
EA Launches Origin Online Game Distribution for Mac http://stks.co/aKTU via MacRumors $EA,['Launches Origin Online Game Distribution for Mac'],EA,0.121,['Corporate/Strategy/New Product'],post,0
Severn Trent share price jumps as Canadian investor renews pursuit of utility,['share price jumps'],Severn Trent,0.433,['Stock/Price Action'],headline,0
Reed Elsevier share price slides on underwhelming full-year results,['share price slides'],Reed Elsevier,-0.526,['Stock/Price Action'],headline,2
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,['Reported very good earnings.'],UTSI,0.63,['Corporate/Financial/Financial Results/Earnings'],post,0
"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",['Up +20.84% In February'],FRP,0.559,['Stock/Price Action/Bullish/Bullish Behavior'],post,0
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,['unveils which stores will close as 900 jobs face the axe'],Morrissons,-0.731,['Corporate/Company Communication'],headline,2
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,['to Sell Majority Stake in Bank BPH's Core Bank'],Bank BPH,0.213,['Stock/Price Action/Volatility/Sell-Off'],headline,0
$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,['I see more downside in next two weeks'],TSLA,-0.477,['Stock/Price Action/Bearish'],post,2
$HITK  Resuming advance into new historical highs.,['Resuming advance into new historical highs.'],HITK,0.68,['Stock/Price Action/Current Price/52-Week High'],post,0
"AstraZeneca bags another cancer drug deal, this time with Inovio",['bags another cancer drug deal'],Inovio,0.316,['Corporate/Sales/Deal'],headline,0
CompaniesDixons Carphone to close 134 UK stores as sales jump,['to close 134 UK stores as sales jump'],Dixons Carphone,0.144,['Corporate/Sales'],headline,0
GKN to buy Fokker Technologies for 706 mln euros,['to buy Fokker Technologies'],GKN,0.276,['Corporate/M&A/M&A'],headline,0
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,['SELL signal by $NDX internals'],QQQ,-0.541,['Stock/Signal/Sell Signal'],post,2
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,['Are Red-Hot Growth Stars'],Dixons Carphone,0.766,['Corporate/Dividend Policy/Dividend/Dividend going up'],headline,0
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,['lifts profits 38%'],Friends Life,0.387,['Corporate/Financial/Financial Results/Earnings'],headline,0
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",['Sue Over Law Taking Branding Off Packs'],BAT,-0.152,['Corporate/Legal/Lawsuit'],headline,2
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,['gapping up to all time highs'],NKE,0.782,['Stock/Price Action/Current Price/52-Week High'],post,0
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,['200 day sma is the big hurdl'],NFLX,0.228,['Stock/Technical Analysis'],post,0
@Intuitiv $CLNE gasoline prices spike in California. http://stks.co/t1bOi,['gasoline prices spike'],CLNE,0.46,['Stock/Price Action/Bullish'],post,0
HSBC Says Unit to Book $585 Million Charge on Settlement,['$585 Million Charge on Settlement'],HSBC,-0.434,['Corporate/Legal'],headline,2
$HYG Potential continuation Uptrend on a 60'-15'-4' charts http://stks.co/t1Qp6,['Potential continuation Uptrend'],HYG,0.437,['Stock/Technical Analysis'],post,0
"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE","['Weak open and it goes r/g within first 30 mins,']",AMZN,-0.229,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
New Morrisons duo get former boss's support to diffuse investor tension,['diffuse investor tension'],Morrisons,0.143,['Corporate/Risks'],headline,0
RBS chairman admits surprise at size of regulatory penalties,['s surprise at size of regulatory penalties'],RBS,-0.333,['Corporate/Regulatory'],headline,2
3rd red day in a row ? $TSLA,['3rd red day in a row ?'],TSLA,-0.43,['Stock/Price Action/Bearish'],post,2
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",['A close over 24.18 is bullish'],SPY,0.361,['Stock/Price Action'],post,0
$GILD 91 now support. $IBB $BIB https://t.co/GIoOf6zbKv,['91 now support'],IBB,0.188,['Stock/Technical Analysis'],post,0
$SAVE long. https://t.co/yEJuS9cMlC,['long'],SAVE,0.388,['Stock/Price Action/Bullish/Bull Position'],post,0
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,['Here come the shorts'],GMCR,-0.522,['Stock/Price Action/Volatility/Short Selling'],post,2
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,['help Britain's FTSE to climb higher'],Hikma,0.452,['Market/Market/Market Trend'],headline,0
Hard to find new buyers of $TSLA at 250.  Shorts continue to pile in.,['Shorts continue to pile in.'],TSLA,-0.373,['Stock/Price Action/Volatility/Short Selling'],post,2
$AAPL AUG 645 calls +550% .67c: http://stks.co/i9T3,['AUG 645 calls +550%'],AAPL,0.553,['Stock/Options/Unusual Call Activity'],post,0
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,['Closed short position. Small gain.'],PLUG,0.143,['Stock/Price Action/Volatility/Short Selling'],post,0
"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",['Apple expected to launch new iPhone'],AAPL,0.264,['Corporate/Strategy/New Product'],post,0
Retail giant Kingfisher reports 'solid' start to the year,['reports 'solid' start to the year'],Kingfisher,0.368,['Corporate/Company Communication'],headline,0
Shire says internal synergy goals from Baxalta deal higher,['says internal synergy goals from Baxalta deal higher'],Shire,0.287,['Corporate/Company Communication/Dividend'],headline,0
"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",['A good place to take a shot'],CELG,0.465,['Stock/Price Action/Bullish'],post,0
Royal Mail share price edges lower as group raises stamp price,['share price edges lower'],Royal Mail,-0.269,['Stock/Price Action'],headline,2
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",['breaking below support'],SPY,-0.397,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
CompaniesTesco off to a bad start over Xmas Ã¢â¬â Kantar,['off to a bad start over Xmas'],Tesco,-0.604,['Stock/Price Action'],headline,2
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,['Current holdings via options - Long'],V,0.635,['Stock/Options'],post,0
Shell to buy BG Group in $69.7 billion takeover,['buy BG Group in $69.7 billion takeover'],Shell,0.25,['Corporate/M&A/M&A'],headline,0
$AXP Looking for continuation with volume increase http://stks.co/c8sR,['Looking for continuation with volume increase'],AXP,0.308,['Stock/Price Action'],post,0
$MOS looking good here at $58.65. Calls are active in this month and weekly,['Calls are active in this month and weekly'],MOS,0.492,['Stock/Options/Strategies'],post,0
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,['Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale'],Asahi,0.207,['Corporate/Strategy/Investment'],headline,0
Investors Remain Skeptical About Shell-BG Deal,['Investors Remain Skeptical About Shell-BG Deal'],Shell,-0.266,['Corporate/Rumors/Rumors'],headline,2
Irish housebuilder Cairn Homes plans London listing,['London listing'],Cairn Homes,0.189,['Stock/IPO'],headline,0
Standard Chartered Shifts Emerging-Markets Strategy After Losses,['Shifts Emerging-Markets Strategy'],Standard Chartered,-0.461,['Corporate/Strategy'],headline,2
AstraZeneca diabetes drug combination faces delay after FDA rebuff,['faces delay after FDA rebuf'],AstraZeneca,-0.391,['Corporate/Risks'],headline,2
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,['bumping its head on declining daily 8ma as overhead resistance'],SPY,-0.35,['Stock/Price Action/Bullish/Bullish Behavior'],post,2
$DDD 3D Systems (DDD) Stock Receives Ratings Downgrade Today at Jefferies http://stks.co/g1cqd,['Stock Receives Ratings Downgrade'],DDD,-0.501,['Stock/Coverage/AnalystRatings/Downgrade'],post,2
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,['double dip dividend play'],MSFT,0.444,['Corporate/Dividend Policy'],post,0
"Britain's FTSE steadies, supported by Dixons Carphone","['FTSE steadies, supported by Dixons Carphone']",Dixons Carphone,0.329,['Stock/Price Action'],headline,0
"$ATVI ooks pretty bullish for now. from a short-term perspective, it's got a good chance of maybe sliding back to 33.70 #stocks #investing",['pretty bullish for now'],ATVI,0.323,['Stock/Price Action/Bullish'],post,0
"$TSLA TO RECALL 2,700 MODEL X SUVS FOR SEAT-BELT FIX","['RECALL 2,700 MODEL X']",TSLA,-0.235,['Corporate/Risks/Product Recall'],post,2
"@harmongreg: $BBRY wkly, Inverse Head and Shoulders forming, triggers over 18.50, PO at least 30.80, watching http://stks.co/iPVJ",['Inverse Head and Shoulders forming'],BBRY,0.394,['Stock/Technical Analysis'],post,0
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",['Trendline and Resistance'],QCOM,-0.371,['Stock/Technical Analysis/Trend'],post,2
$FB  rejecting HIGHS shortable...at 109,['rejecting HIGHS shortable'],FB,-0.387,['Stock/Price Action/Bearish'],post,2
"Intuitive Surgical $ISRG is in a great financial position, take a look https://t.co/VahhJAcBFG https://t.co/24hQTQX4ou",['is in a great financial position'],ISRG,0.406,['Corporate/Financial'],post,0
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",['Traffic Up'],Aer Lingus,0.284,['Corporate/Sales'],headline,0
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,['Deal Meets Shareholder Skepticism'],Shell,-0.345,['Corporate/Rumors/Rumors'],headline,2
$KITD Looking for a oversold bounce.,['Looking for a oversold bounce.'],KITD,0.436,['Stock/Price Action/Current Price/Oversold'],post,0
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,['Group Sign Memo of Understanding ..'],China Merchants Group,0.119,['Corporate/Strategy/Company Agreement'],headline,0
AB InBev offers SABMiller $3 billion breakup fee,['offers SABMiller $3 billion breakup fee'],SAB Miller,0.197,['Corporate/M&A/M&A'],headline,0
Bought some more $CELG as it is ready for a bounce.,['Bought some more'],CELG,0.628,['Stock/Price Action/Bullish/Bull Position'],post,0
Diageo receives reports from United Spirits on financial irregularities involving ...,['United Spirits on financial irregularitie'],Diageo,-0.255,['Corporate/Reputation'],headline,2
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,['tumbles on Q1 warning'],JNPR,-0.556,['Corporate/Financial/Financial Results/Earnings/Profit Warning'],post,2
$GOOG resistance turned support?  It,['resistance turned support?'],GOOG,0.34,['Stock/Technical Analysis'],post,0
$FB bot some @78.47 breakout from the consolidation zone :D,['bot some @78.47 breakout from the consolidation zone'],FB,0.724,['Stock/Price Action/Bullish/Bull Position'],post,0
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,['AB InBev Bid for SABMiller Ups Stake'],SAB Miller,0.236,['Corporate/M&A/M&A'],headline,0
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",['Breakup Will Cost Billions'],HPQ,-0.265,['Corporate/Risks'],post,2
AB InBev approaches SABMiller to explore $250bn tie-up,['approaches SABMiller to explore $250bn tie-up'],SAB Miller,0.237,['Corporate/M&A/Proposed Merger'],headline,0
"Buffett's Berkshire builds Deere stake, dumps Exxon",['builds Deere stake '],Deere,0.316,['Stock/Signal/Buy Signal'],headline,0
$UVXY Put the chum out there at key support then next level down - careful,['Put the chum out there at key support then next level down - careful'],UVXY,-0.32,['Stock/Price Action/Bearish'],post,2
Crown Castle buys Tower Development Corp for $461 million,['Crown Castle buys Tower Development Corp'],Tower Development,0.366,['Corporate/M&A/M&A'],headline,0
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,['chart rolling over'],SPY,-0.287,['Stock/Technical Analysis'],post,2
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,['Barclays poaches new chief operating officer Paul Compton'],JP Morgan Chase,-0.092,['Corporate/Appointment/Executive Appointment'],headline,1
Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy'],headline,1
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,['Small-caps / semis with a fakeout before the b/out.'],SOX,0.308,['Stock/Price Action/Bullish'],post,0
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU","['down 2.3% today and down 8.9% since being put on ""The Short""']",MU,-0.469,['Stock/Price Action/Bearish/Bearish Behavior'],post,2
$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,['being sued by FTC'],ENDP,-0.602,['Corporate/Legal/Lawsuit'],post,2
$NUGT longer term bullish,['longer term bullish'],NUGT,0.814,['Stock/Price Action/Bullish'],post,0
